area_path,json_pointer,resource,original_quantity
src/module/git/_basefaccione001.git.json,/StoreList/value/1/StoreList/value/4/ItemList/value/5,cnr_p_po_diam,1
src/module/git/_basefaccione001.git.json,/StoreList/value/2/StoreList/value/0/ItemList/value/0,cnr_t_gu_alquim,1
src/module/git/_basefaccione001.git.json,/StoreList/value/2/StoreList/value/0/ItemList/value/1,cnr_t_gu_cocina,1
src/module/git/_basefaccione001.git.json,/StoreList/value/2/StoreList/value/1/ItemList/value/0,cuchillorecolect,1
src/module/git/_basefaccione001.git.json,/StoreList/value/2/StoreList/value/1/ItemList/value/1,hozrecolector,1
src/module/git/_basefaccione001.git.json,/StoreList/value/2/StoreList/value/2/ItemList/value/0,cnr_p_botella,1
src/module/git/_basefaccione001.git.json,/StoreList/value/3/StoreList/value/4/ItemList/value/0,cnr_t_kit_orfeb,1
src/module/git/_basefaccione001.git.json,/StoreList/value/3/StoreList/value/4/ItemList/value/2,cnr_t_mo_aro,1
src/module/git/_basefaccione001.git.json,/StoreList/value/3/StoreList/value/4/ItemList/value/3,cnr_t_mo_cadena,1
src/module/git/_basefaccione001.git.json,/StoreList/value/3/StoreList/value/4/ItemList/value/4,cnr_p_ci_cobre,1
src/module/git/_basefaccione001.git.json,/StoreList/value/3/StoreList/value/4/ItemList/value/5,cnr_p_ci_oro,1
src/module/git/_basefaccione001.git.json,/StoreList/value/3/StoreList/value/4/ItemList/value/6,cnr_p_ci_platino,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/1/ItemList/value/0,carp_hl,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/1/ItemList/value/1,carp_hlp,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/0,cnr_p_plumas,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/1,cnr_p_puntasfle,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/2,cnr_p_puntasvir,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/3,cnr_p_aroshierro,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/4,cnr_p_cuerdaarco,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/5,cnr_p_cuerdabal,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/6,cnr_t_kit_carp,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/7,cnr_t_kit_serr,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/8,cnr_p_mangoclava,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/9,cnr_p_planchagra,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/10,cnr_p_planchapeq,1
src/module/git/_basefaccione001.git.json,/StoreList/value/4/StoreList/value/4/ItemList/value/11,cnr_t_sierra,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/1/ItemList/value/0,cnr_t_aguja_peq,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/1/ItemList/value/1,cnr_t_aguja,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/0,cnr_p_sal,10
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/1,cnr_p_tanino,10
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/2,cnr_t_kit_cuero,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/3,cnr_p_tachones,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/4,cnr_t_pl_armad,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/5,cnr_t_pl_botas,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/6,cnr_t_pl_capa,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/7,cnr_t_pl_cinto,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/8,cnr_t_pl_guantes,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/9,cnr_p_seda,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/10,cnr_p_tachonref,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/11,cnr_p_correas,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/12,cnr_t_pl_braz,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/13,cnr_t_kit_sastre,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/14,cnr_t_desollador,1
src/module/git/_basefaccione001.git.json,/StoreList/value/5/StoreList/value/4/ItemList/value/15,cnr_t_desol_gran,1
src/module/git/_basefaccione001.git.json,/StoreList/value/15/StoreList/value/2/ItemList/value/1,cnr_p_botella,1
src/module/git/_basefaccione001.git.json,/StoreList/value/20/StoreList/value/2/ItemList/value/25,cnr_p_botella,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/0/ItemList/value/0,cnr_t_gu_fundid,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/1/ItemList/value/0,picodeminero,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/1/ItemList/value/1,mazodeminero,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/1/ItemList/value/2,cnr_t_martligero,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/1/ItemList/value/3,picodegemas,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/0,cnr_t_mo_bala,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/1,cnr_t_mo_arma,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/2,cnr_t_mo_yelmo,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/3,cnr_t_mo_escgra,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/4,cnr_t_mo_escpav,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/5,cnr_t_mo_escpeq,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/6,cnr_t_mo_armcomp,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/7,cnr_t_mo_escamas,1
src/module/git/_basefaccione001.git.json,/StoreList/value/24/StoreList/value/4/ItemList/value/8,cnr_p_aceite,1
src/module/git/_basefaccione001.git.json,/StoreList/value/25/StoreList/value/2/ItemList/value/0,cnr_e_128,1
src/module/git/_basefaccione001.git.json,/StoreList/value/25/StoreList/value/4/ItemList/value/0,sute_her_dm1,1
src/module/git/kro_aventurero.git.json,/StoreList/value/1/StoreList/value/2/ItemList/value/1,cnr_p_botella,1
src/module/git/kro_mercaderepru.git.json,/StoreList/value/2/StoreList/value/4/ItemList/value/2,cnr_p_aceite,1
src/module/git/lin_dradia.git.json,/StoreList/value/0/StoreList/value/1/ItemList/value/0,cuchillorecolect,1
src/module/git/lin_dradia.git.json,/StoreList/value/0/StoreList/value/1/ItemList/value/1,hozrecolector,1
src/module/git/orodiranforja.git.json,/StoreList/value/0/StoreList/value/1/ItemList/value/0,cuchillorecolect,1
src/module/git/orodiranforja.git.json,/StoreList/value/0/StoreList/value/1/ItemList/value/1,hozrecolector,1
src/module/git/par_sedefaccion.git.json,/StoreList/value/0/StoreList/value/2/ItemList/value/1,cnr_p_botella,1
src/module/git/templomaskara.git.json,/StoreList/value/0/StoreList/value/2/ItemList/value/3,cnr_p_botella,1
src/module/git/uri_mintarinter.git.json,/StoreList/value/0/StoreList/value/1/ItemList/value/0,cuchillorecolect,1
src/module/git/uri_mintarinter.git.json,/StoreList/value/0/StoreList/value/1/ItemList/value/1,hozrecolector,1
